,labels,perfect_score,reverse_score,perfect_score_with_anticipation,perfect_score_with_FA,first_half_score,second_half_score,first_area_score,second_area_score,1/5_first_area_score,shift_100_perfect_score,random_score
0,1.0,0.147548194927335,10.908448717204255,0.147548194927335,0.147548194927335,0.147548194927335,0.147548194927335,0.0,0.0,0.0,0.0,0.442644584782005
1,1.0,0.11084325084710706,10.262873088124605,0.11084325084710706,0.11084325084710706,0.11084325084710706,0.11084325084710706,0.0,0.0,0.0,0.0,0.33252975254132117
2,1.0,0.04725096851800806,10.110240212764753,0.04725096851800806,0.04725096851800806,0.04725096851800806,0.04725096851800806,0.0,0.0,0.0,0.0,0.14175290555402417
3,1.0,0.07968763419829933,10.9024638235722,0.07968763419829933,0.07968763419829933,0.07968763419829933,0.07968763419829933,0.0,0.0,0.0,0.0,0.23906290259489799
4,1.0,0.09888880585223986,10.450074483568129,0.09888880585223986,0.09888880585223986,0.09888880585223986,0.09888880585223986,0.0,0.0,0.0,0.0,0.2966664175567196
5,1.0,0.0474256675643817,10.106451014075088,0.0474256675643817,0.0474256675643817,0.0474256675643817,0.0474256675643817,0.0,0.0,0.0,0.0,0.14227700269314508
6,1.0,0.08772845209925059,10.315750879125071,0.08772845209925059,0.08772845209925059,0.08772845209925059,0.08772845209925059,0.0,0.0,0.0,0.0,0.26318535629775175
7,1.0,0.03761445392150624,10.70674499111892,0.03761445392150624,0.03761445392150624,0.03761445392150624,0.03761445392150624,0.0,0.0,0.0,0.0,0.11284336176451872
8,1.0,0.01718602554240096,10.003057622858039,0.01718602554240096,0.01718602554240096,0.01718602554240096,0.01718602554240096,0.0,0.0,0.0,0.0,0.05155807662720288
9,1.0,0.10235002003139909,10.067686503206636,0.10235002003139909,0.10235002003139909,0.10235002003139909,0.10235002003139909,0.0,0.0,0.0,0.0,0.3070500600941973
10,1.0,0.038936595826993436,10.36910381940646,0.038936595826993436,0.038936595826993436,0.038936595826993436,0.038936595826993436,0.0,0.0,0.0,0.0,0.11680978748098031
11,1.0,0.07516838164254445,10.504332842317853,0.07516838164254445,0.07516838164254445,0.07516838164254445,0.07516838164254445,0.0,0.0,0.0,0.0,0.22550514492763335
12,1.0,0.06397477936588548,10.442820772500934,0.06397477936588548,0.06397477936588548,0.06397477936588548,0.06397477936588548,0.0,0.0,0.0,0.0,0.19192433809765647
13,1.0,0.1017199640734528,10.524366933994422,0.1017199640734528,0.1017199640734528,0.1017199640734528,0.1017199640734528,0.0,0.0,0.0,0.0,0.3051598922203584
14,1.0,0.062170301273337274,10.20776255133559,0.062170301273337274,0.062170301273337274,0.062170301273337274,0.062170301273337274,0.0,0.0,0.0,0.0,0.18651090382001181
15,1.0,0.21108756511817012,10.192317362967286,0.21108756511817012,0.21108756511817012,0.21108756511817012,0.21108756511817012,0.0,0.0,0.0,0.0,0.6332626953545104
