,labels,perfect_score,reverse_score,perfect_score_with_anticipation,perfect_score_with_FA,perfect_score_half_areas,perfect_score_first_half_each_areas,perfect_score_second_half_each_areas,shift_100,always_high,random_score
0,1.0,0.5488135039273248,10.748267981289699,0.3921729613508653,0.11327181145653098,0.7655065086950014,0.5106175213687947,0.9451890983047913,0.0,10.712510605066887,0.7885804127036825
1,1.0,0.7151893663724195,10.18020270731629,0.04115658616429163,0.2937587273526767,0.2554154478222527,0.37990148191426687,0.17636708225519704,0.0,10.019762735947417,0.21547578292351222
2,1.0,0.6027633760716439,10.389023144532484,0.9233005685513088,0.7134730229601053,0.4872240917815458,0.017947643838429728,0.08282849066212083,0.0,10.138665413713248,0.4577086417834142
3,1.0,0.5448831829968969,10.037600181564812,0.4062349745714864,0.6056355084364154,0.5963210518386777,0.8077194067671869,0.6087385507387364,0.0,10.20525631225975,0.43159858518809957
4,1.0,0.4236547993389047,10.011787739180724,0.9442821831399316,0.5438646503683903,0.8035433133881634,0.4124682511324622,0.8326048129785752,0.0,10.455304867218633,0.48655210892338463
5,1.0,0.6458941130666561,10.996267871634844,0.7227244896803341,0.11447021004365043,0.667442340319061,0.28481925529009544,0.889804366367337,0.0,10.624439940837785,0.5148225733996988
6,1.0,0.4375872112626925,10.488196658055436,0.9183199522385971,0.979377186768316,0.5124242620113394,0.8954274616140826,0.3932411128701673,0.0,10.534894230663618,0.01696465278925341
7,1.0,0.8917730007820798,10.37202476397192,0.8232675386765654,0.14783994946669343,0.14374679703067728,0.5159870391098111,0.10517106087413486,0.0,10.561737564785993,0.27979853971185775
8,1.0,0.9636627605010293,10.196172094563979,0.646896701857699,0.3302447150059903,0.3990256895808496,0.983350936358233,0.5808006379360812,0.0,10.821657434887872,0.8553455113017276
9,1.0,0.3834415188257777,10.807192245088546,0.06793902002339891,0.381685586496169,0.11828575015793197,0.45601610367963363,0.8703442310147966,0.0,10.046968612012725,0.568367685397418
10,1.0,0.7917250380826646,10.705752719530148,0.8388157720591105,0.23460726848068425,0.1087271321565616,0.7113112576426422,0.8232351116309399,0.0,10.98414718326834,0.18704015828907694
11,1.0,0.5288949197529045,10.001556197929633,0.692822400555904,0.2906288789673198,0.5216518307844307,0.0900322178616696,0.5006682362066417,0.0,10.761743756119408,0.5158029454479623
12,1.0,0.5680445610939323,10.771226673040236,0.957991514481232,0.6987350194389705,0.524245748944231,0.43287637344646257,0.12546544295116924,0.0,10.304378319975855,0.3843973703971666
