,labels,perfect_score,reverse_score,perfect_score_with_anticipation,perfect_score_with_FA,areas_perfect,first_area_pefect,second_area_perfect,singles_perfect,win100_score,random_score
0,1.0,0.01852179446061397,10.9867572743319,0.41991982745129275,0.6078730073873934,0.8981733240577902,0.1049320621771217,0.704143002334175,0.2992170377956066,0.05951957527271812,0.07172081274015651
1,1.0,0.7936977033574206,10.030431017389827,0.852304429162223,0.16020883280419407,0.7835869479639543,0.21148762153723843,0.34088706307199956,0.5098478531684334,0.7656496796125484,0.8557715126303853
2,1.0,0.22392468806038013,10.465867285825501,0.6560552593464684,0.9809094683867201,0.6919805513112628,0.5341717998646068,0.8246383124501349,0.9144772297555565,0.6872872984011076,0.36071135888549766
3,1.0,0.3453516806969027,10.473904697342585,0.10778988222201091,0.6948320596123707,0.9000284285907642,0.2638078207521748,0.807940946930508,0.8697683299022074,0.489704585253549,0.38289577942709097
4,1.0,0.9280812934655909,10.691806388720545,0.025717058800788672,0.09821584346310686,0.4076603501752383,0.4239152982297447,0.8854708021964708,0.9482990804644681,0.251722388554413,0.2567885181499343
5,1.0,0.7044144019235328,10.266400115287416,0.5897773162317108,0.6899103340342836,0.36474838450349334,0.19484926811118164,0.7241115610271897,0.06879659834225083,0.8023583858810488,0.4600680532382351
6,1.0,0.03183892953130785,10.799934067469309,0.8941063950881307,0.04799973840264715,0.8639501169795543,0.3607741870094441,0.21627131337700345,0.7948804433769809,0.740696052120997,0.26239788072649883
7,1.0,0.16469415649791275,10.400993420026486,0.22352011508037883,0.1612392139024006,0.15980913649638007,0.13167835257656435,0.8631327353811667,0.5145057243034091,0.9754638529956774,0.8636910090781595
8,1.0,0.6214784014997635,10.095162392618827,0.44610402324144816,0.8872059295402088,0.29365390856260654,0.5718922460604179,0.13177853859472166,0.7894018993491563,0.7471891030542653,0.046651936644063086
9,1.0,0.5772285886041676,10.630060499061958,0.044782851343097896,0.820960197166343,0.09963451481421093,0.04266069665164696,0.9747575024193772,0.7356237664297945,0.3718027627520232,0.5332755267311972
10,1.0,0.23789282137450862,10.02639314439951,0.48321628847786324,0.9746166867320324,0.29695935698523734,0.9791052649786207,0.0905201334998168,0.6764998341476033,0.7209181011624335,0.7302365746388136
11,1.0,0.9342139979247938,10.716802193628416,0.7996598607816455,0.3890084721317907,0.02844646092512182,0.09490727369065388,0.5025372486799117,0.9543392816315218,0.17214163290579831,0.012313211437646854
12,1.0,0.613965955965896,10.012140297760558,0.47933468811528657,0.022022878309316707,0.5816466798913297,0.6309450638037533,0.36576000752751203,0.6862208452326964,0.7056046360020796,0.5996980633313215
13,1.0,0.5356328030249583,10.59667020235979,0.43395671594886176,0.09752984694224953,0.7636882960697812,0.35832558741218046,0.7694555058431639,0.3473257502006317,0.024564858570112702,0.413820745034687
14,1.0,0.589909976354571,10.87089197948686,0.24420242667328673,0.965266121006439,0.9978279942632751,0.6635969330182817,0.9508409778507444,0.8444630890025684,0.24544283280283063,0.6616151706891982
15,1.0,0.7301220295167696,10.698408427261944,0.534633026820315,0.8548207729022137,0.45423575394455795,0.4017751302693803,0.8808211372632454,0.9164302498015214,0.270164289379483,0.4633853478266907
16,1.0,0.31194499547960186,10.62434375473902,0.8403005112540586,0.5416870896213474,0.9176220841210841,0.11303846643065196,0.6877562589654368,0.7928386713234917,0.17790719123360976,0.9584234864323751
17,1.0,0.3982210622160919,10.431791125287344,0.5485179269766256,0.6309411150819861,0.22997937657194722,0.293798802826566,0.14944342525195564,0.7958260647157341,0.6133330536837739,0.6537918779304709
18,1.0,0.20984374897512215,10.336195516906757,0.29325988939042735,0.7900981915441158,0.517161135715115,0.9832615735815476,0.5192755559796782,0.12298854545637117,0.5564393791269303,0.6515759294052008
19,1.0,0.18619300588033616,10.370295520944179,0.7876290312686683,0.5221807122815924,0.040490375935116285,0.7040905092784545,0.6589244796386011,0.14507488840779548,0.09905790369812251,0.9364148546445497
